Query	Quality Threshold	Repetition	Unfairness
Query 3	θ = 0.28	61007	0.01
Query 1	θ = 0.48	140564	0.008028
Query 1	θ = 0.88	167313	0.226307
Query 3	θ = 0.88	185577	0.165202
Query 2	θ = 0.98	34329	0.028174
Query 3	θ = 0.48	15810	0.061330
Query 3	θ = 0.88	142948	0.179084
Query 2	θ = 0.98	89966	0.059698
Query 3	θ = 0.88	142817	0.179129
Query 1	θ = 0.28	67080	0.01
Query 1	θ = 0.48	11449	0.079644
Query 2	θ = 0.98	149797	0.082425
Query 3	θ = 0.78	79186	0.120242
Query 2	θ = 0.98	94669	0.061826
Query 3	θ = 0.48	56045	0.031335
Query 1	θ = 0.78	61068	0.174536
Query 3	θ = 0.48	8005	0.067353
Query 1	θ = 0.48	65706	0.045523
Query 3	θ = 0.48	27234	0.052715
Query 1	θ = 0.48	38194	0.062273
Query 1	θ = 0.88	199457	0.213467
Query 1	θ = 0.98	142584	0.287981
Query 3	θ = 0.28	146937	0.01
Query 1	θ = 0.48	31809	0.066318
Query 1	θ = 0.78	159477	0.109553
Query 2	θ = 0.28	71519	0.01
Query 3	θ = 0.78	87997	0.116296
Query 3	θ = 0.78	53452	0.132381
Query 2	θ = 0.78	6115	0.008777
Query 2	θ = 0.48	190556	0.03
Query 3	θ = 0.88	48567	0.219242
Query 2	θ = 0.88	148524	0.026969
Query 1	θ = 0.98	97464	0.256697
Query 3	θ = 0.28	25574	0.01
Query 3	θ = 0.78	149166	0.091433
Query 2	θ = 0.48	120320	0.01
Query 3	θ = 0.98	60642	0.167596
Query 3	θ = 0.88	40733	0.223342
Query 2	θ = 0.28	79575	0.01
Query 2	θ = 0.78	99052	0.05
Query 1	θ = 0.88	113709	0.250076
Query 1	θ = 0.98	13174	0.162654
Query 2	θ = 0.28	22564	0.01
Query 1	θ = 0.78	78123	0.161925
Query 1	θ = 0.48	22714	0.072190
Query 3	θ = 0.98	172155	0.236118
Query 1	θ = 0.48	34695	0.064482
Query 2	θ = 0.28	96378	0.01
Query 2	θ = 0.88	59496	0.063104
Query 3	θ = 0.28	172899	0.01
Query 2	θ = 0.28	171634	0.01
Query 3	θ = 0.98	118093	0.208896
Query 3	θ = 0.48	139141	0.02
Query 2	θ = 0.48	175763	0.01
Query 3	θ = 0.88	124322	0.185870
Query 1	θ = 0.78	172087	0.102424
Query 2	θ = 0.48	94140	0.02
Query 3	θ = 0.98	71172	0.176475
Query 3	θ = 0.48	99626	0.001313
Query 3	θ = 0.78	20179	0.149580
Query 3	θ = 0.98	29087	0.136101
Query 3	θ = 0.48	25180	0.054247
Query 3	θ = 0.48	2686	0.071525
Query 1	θ = 0.88	165431	0.227104
Query 1	θ = 0.78	7514	0.209274
Query 3	θ = 0.28	185497	0.01
Query 1	θ = 0.78	80963	0.159887
Query 2	θ = 0.28	158052	0.01
Query 1	θ = 0.78	117300	0.135239
Query 1	θ = 0.88	13448	0.307958
Query 2	θ = 0.98	159782	0.085482
Query 1	θ = 0.28	95908	0.01
Query 3	θ = 0.78	1091	0.160308
Query 1	θ = 0.48	100153	0.027282
Query 1	θ = 0.78	62776	0.173246
Query 2	θ = 0.28	119938	0.01
Query 1	θ = 0.48	86613	0.034224
Query 3	θ = 0.28	160656	0.01
Query 3	θ = 0.28	81213	0.02
Query 1	θ = 0.98	47629	0.208841
Query 3	θ = 0.78	91980	0.114537
Query 3	θ = 0.98	139568	0.220745
Query 1	θ = 0.28	185517	0.01
Query 1	θ = 0.48	9385	0.081033
Query 1	θ = 0.98	171238	0.303923
Query 1	θ = 0.78	112430	0.138398
Query 2	θ = 0.28	38721	0.01
Query 3	θ = 0.78	94168	0.113584
Query 1	θ = 0.48	5349	0.083768
Query 1	θ = 0.88	2320	0.315932
Query 3	θ = 0.48	168224	0.01
Query 1	θ = 0.88	81971	0.265998
Query 3	θ = 0.48	192836	0.01
Query 2	θ = 0.98	19320	0.016929
Query 3	θ = 0.48	164050	0.01
Query 3	θ = 0.78	105874	0.108573
Query 2	θ = 0.88	67706	0.059205
Query 2	θ = 0.98	82341	0.056102
Query 3	θ = 0.88	172718	0.169165
Query 2	θ = 0.48	4426	0.02
Query 2	θ = 0.78	4071	0.009503
Query 2	θ = 0.88	171661	0.019428
Query 1	θ = 0.48	21901	0.072721
Query 1	θ = 0.48	116329	0.019259
Query 3	θ = 0.28	169572	0.01
Query 3	θ = 0.98	115807	0.207540
Query 2	θ = 0.98	198309	0.095838
Query 2	θ = 0.48	83600	0.02
Query 1	θ = 0.98	37259	0.196412
Query 2	θ = 0.28	44021	0.01
Query 1	θ = 0.88	2181	0.316035
Query 1	θ = 0.98	123758	0.276054
Query 2	θ = 0.28	124871	0.01
Query 3	θ = 0.48	43622	0.040492
Query 1	θ = 0.78	143757	0.118784
Query 2	θ = 0.98	3792	0.003575
Query 1	θ = 0.78	120585	0.133133
Query 1	θ = 0.88	53688	0.281843
Query 1	θ = 0.78	84074	0.157675
Query 3	θ = 0.78	163179	0.086289
Query 1	θ = 0.88	12403	0.308690
Query 1	θ = 0.98	126833	0.278103
Query 2	θ = 0.48	165186	0.02
Query 1	θ = 0.78	86949	0.155648
Query 1	θ = 0.88	131262	0.241928
Query 2	θ = 0.98	33224	0.027402
Query 2	θ = 0.88	38666	0.073701
Query 2	θ = 0.98	180577	0.091321
Query 3	θ = 0.98	27419	0.134194
Query 3	θ = 0.78	79126	0.120269
Query 3	θ = 0.98	66233	0.172399
Query 1	θ = 0.78	183713	0.096055
Query 2	θ = 0.48	85620	0.01
Query 2	θ = 0.78	26730	0.000631
Query 3	θ = 0.78	78364	0.120614
Query 1	θ = 0.28	185804	0.01
Query 3	θ = 0.78	184348	0.078879
Query 2	θ = 0.98	186619	0.092911
Query 2	θ = 0.48	165658	0.02
Query 2	θ = 0.88	58957	0.063366
Query 2	θ = 0.28	72516	0.01
Query 1	θ = 0.98	61393	0.223947
Query 1	θ = 0.48	148829	0.004916
Query 2	θ = 0.78	67078	0.03
Query 1	θ = 0.88	105996	0.253832
Query 3	θ = 0.48	87719	0.009146
Query 2	θ = 0.98	153642	0.083625
Query 2	θ = 0.88	29590	0.078600
Query 1	θ = 0.88	132499	0.241375
Query 3	θ = 0.78	46715	0.135723
Query 2	θ = 0.98	9603	0.008822
Query 3	θ = 0.98	78021	0.181893
Query 1	θ = 0.88	140072	0.238038
Query 3	θ = 0.98	7979	0.109698
Query 1	θ = 0.98	142482	0.287916
Query 3	θ = 0.28	13833	0.01
Query 1	θ = 0.88	150304	0.233685
Query 1	θ = 0.78	165237	0.106265
Query 3	θ = 0.98	10976	0.113769
Query 2	θ = 0.88	69595	0.058337
Query 2	θ = 0.28	174028	0.01
Query 3	θ = 0.98	93560	0.193239
Query 2	θ = 0.48	190714	0.01
Query 2	θ = 0.88	62941	0.061449
Query 1	θ = 0.88	3836	0.314819
Query 1	θ = 0.28	89965	0.01
Query 3	θ = 0.88	164577	0.171771
Query 2	θ = 0.78	57826	0.05
Query 2	θ = 0.28	44072	0.01
Query 2	θ = 0.28	90695	0.02
Query 1	θ = 0.78	122361	0.131999
Query 2	θ = 0.78	107453	0.02
Query 1	θ = 0.48	116979	0.018942
Query 1	θ = 0.98	56677	0.218935
Query 2	θ = 0.88	196567	0.011951
Query 1	θ = 0.88	130281	0.242369
Query 3	θ = 0.78	94170	0.113583
Query 3	θ = 0.88	113319	0.190101
Query 3	θ = 0.78	74432	0.122407
Query 2	θ = 0.78	123257	0.04
Query 1	θ = 0.88	185161	0.219003
Query 2	θ = 0.88	18392	0.084969
Query 3	θ = 0.48	124625	0.01
Query 2	θ = 0.98	135578	0.077747
Query 1	θ = 0.88	38510	0.291192
Query 1	θ = 0.88	107898	0.252897
Query 1	θ = 0.28	40264	0.01
Query 2	θ = 0.78	187262	0.04
Query 2	θ = 0.78	63245	0.06
Query 1	θ = 0.98	8319	0.154764
Query 3	θ = 0.28	100214	0.01
Query 1	θ = 0.98	3053	0.145502
Query 1	θ = 0.88	130076	0.242462
Query 1	θ = 0.28	160817	0.01
Query 3	θ = 0.28	155354	0.01
Query 2	θ = 0.98	147264	0.081613
Query 3	θ = 0.88	16747	0.236857
Query 1	θ = 0.28	136111	0.01
Query 3	θ = 0.78	123205	0.101460
Query 2	θ = 0.28	60395	0.01
Query 3	θ = 0.98	64824	0.171208
Query 1	θ = 0.78	159929	0.109293
Query 3	θ = 0.78	2046	0.159755
Query 3	θ = 0.78	178001	0.081064
Query 1	θ = 0.78	1922	0.212233
Query 1	θ = 0.98	174368	0.305543
Query 3	θ = 0.78	186792	0.078049
Query 2	θ = 0.98	49821	0.038337
Query 1	θ = 0.88	6741	0.312713
Query 2	θ = 0.98	194266	0.094858
Query 2	θ = 0.98	32481	0.026878
Query 1	θ = 0.98	153244	0.294212
Query 2	θ = 0.88	169026	0.020264
Query 2	θ = 0.78	35096	0.04
Query 2	θ = 0.78	102406	0.03
Query 3	θ = 0.28	146613	0.01
Query 1	θ = 0.28	49021	0.01
Query 1	θ = 0.88	78035	0.268088
Query 1	θ = 0.88	66650	0.274337
Query 3	θ = 0.88	99446	0.195710
Query 3	θ = 0.78	144159	0.093315
Query 1	θ = 0.98	80060	0.241942
Query 1	θ = 0.78	35495	0.194717
Query 3	θ = 0.28	175241	0.01
Query 3	θ = 0.78	1964	0.159802
Query 1	θ = 0.88	2140	0.316066
Query 1	θ = 0.48	66866	0.044840
Query 3	θ = 0.98	101759	0.198751
Query 2	θ = 0.98	158007	0.084946
Query 2	θ = 0.28	73039	0.01
Query 3	θ = 0.28	14192	0.01
Query 1	θ = 0.98	72396	0.234872
Query 3	θ = 0.48	186513	0.01
Query 3	θ = 0.98	31480	0.138787
Query 1	θ = 0.88	48934	0.284702
Query 2	θ = 0.88	111185	0.040601
Query 3	θ = 0.88	98886	0.195943
Query 1	θ = 0.88	131839	0.241669
Query 2	θ = 0.78	72026	0.04
Query 1	θ = 0.78	89979	0.153529
Query 3	θ = 0.98	54773	0.162324
Query 3	θ = 0.78	143309	0.093634
Query 2	θ = 0.88	192930	0.013015
Query 3	θ = 0.98	99333	0.197149
Query 3	θ = 0.78	60556	0.128926
Query 3	θ = 0.48	45116	0.039377
Query 2	θ = 0.48	118792	0.01
Query 3	θ = 0.98	196511	0.245956
Query 2	θ = 0.28	109932	0.01
Query 2	θ = 0.88	7007	0.091839
Query 3	θ = 0.28	8879	0.01
Query 3	θ = 0.28	181464	0.01
Query 1	θ = 0.88	122207	0.246066
Query 1	θ = 0.78	195845	0.089600
Query 1	θ = 0.28	121810	0.01
Query 1	θ = 0.78	33732	0.196106
Query 1	θ = 0.28	188160	0.01
Query 1	θ = 0.28	4921	0.01
Query 1	θ = 0.78	29304	0.198252
Query 1	θ = 0.98	124778	0.276733
Query 3	θ = 0.78	111331	0.106292
Query 3	θ = 0.98	159065	0.230282
Query 2	θ = 0.88	134164	0.031997
Query 1	θ = 0.78	145077	0.117994
Query 3	θ = 0.48	87780	0.009105
Query 3	θ = 0.98	48806	0.156714
Query 2	θ = 0.98	109749	0.068193
Query 1	θ = 0.88	176612	0.222448
Query 2	θ = 0.28	32190	0.01
Query 2	θ = 0.88	167090	0.020872
Query 3	θ = 0.78	90493	0.115190
Query 3	θ = 0.88	65345	0.210907
Query 1	θ = 0.78	84641	0.157274
Query 2	θ = 0.78	29227	0.04
Query 3	θ = 0.88	116175	0.188988
Query 2	θ = 0.88	112804	0.039975
Query 2	θ = 0.48	49070	0.02
Query 1	θ = 0.88	9365	0.310835
Query 1	θ = 0.78	110631	0.139572
Query 3	θ = 0.48	179583	0.01
Query 2	θ = 0.78	94687	0.04
Query 3	θ = 0.98	145465	0.223745
Query 2	θ = 0.98	55819	0.041949
Query 3	θ = 0.88	2480	0.245673
Query 3	θ = 0.78	85096	0.117585
Query 2	θ = 0.88	52674	0.066467
Query 2	θ = 0.78	58099	0.03
Query 3	θ = 0.48	130971	0.01
Query 1	θ = 0.98	11660	0.160271
Query 1	θ = 0.98	62725	0.225312
Query 1	θ = 0.78	139490	0.121361
Query 2	θ = 0.78	15333	0.005381
Query 2	θ = 0.98	127800	0.075033
Query 1	θ = 0.88	196653	0.214532
Query 2	θ = 0.88	188566	0.014299
Query 3	θ = 0.98	113817	0.206342
Query 2	θ = 0.28	161304	0.01
Query 3	θ = 0.98	176911	0.238138
Query 1	θ = 0.88	8260	0.311623
Query 1	θ = 0.88	146264	0.235380
Query 2	θ = 0.98	174616	0.089718
Query 2	θ = 0.28	149940	0.01
Query 2	θ = 0.78	173581	0.02
Query 2	θ = 0.88	4583	0.093343
Query 3	θ = 0.88	70518	0.208458
Query 3	θ = 0.98	29220	0.136252
Query 1	θ = 0.48	92981	0.030933
Query 3	θ = 0.48	136783	0.01
Query 3	θ = 0.78	79129	0.120268
Query 1	θ = 0.98	151908	0.293441
Query 3	θ = 0.98	132946	0.217255
Query 3	θ = 0.78	3962	0.158651
Query 1	θ = 0.48	96498	0.029135
Query 3	θ = 0.98	191440	0.244008
Query 1	θ = 0.88	80130	0.266970
Query 2	θ = 0.88	50791	0.067417
Query 3	θ = 0.28	82946	0.01
Query 3	θ = 0.78	112479	0.105820
Query 2	θ = 0.88	194257	0.012621
Query 2	θ = 0.88	16120	0.086300
Query 3	θ = 0.28	86913	0.01
Query 2	θ = 0.48	116787	0.01
Query 3	θ = 0.78	166174	0.085213
Query 2	θ = 0.98	10051	0.009212
Query 1	θ = 0.48	81582	0.036857
Query 2	θ = 0.28	82774	0.01
Query 1	θ = 0.28	11487	0.01
Query 1	θ = 0.78	18629	0.203554
Query 2	θ = 0.98	97807	0.063204
Query 2	θ = 0.28	129491	0.01
Query 2	θ = 0.98	81136	0.055522
Query 2	θ = 0.28	21801	0.01
Query 3	θ = 0.48	129086	0.02
Query 2	θ = 0.48	98244	0.01
Query 3	θ = 0.88	79533	0.204331
Query 2	θ = 0.88	107941	0.041873
Query 3	θ = 0.28	4432	0.01
Query 1	θ = 0.28	80988	0.01
Query 3	θ = 0.28	175030	0.01
Query 2	θ = 0.98	151620	0.082995
Query 3	θ = 0.28	44855	0.01
Query 3	θ = 0.88	41184	0.223100
Query 3	θ = 0.78	143174	0.093684
Query 3	θ = 0.28	43893	0.01
Query 2	θ = 0.98	129106	0.075500
Query 3	θ = 0.28	159367	0.01
Query 3	θ = 0.28	15341	0.01
Query 1	θ = 0.78	126954	0.129095
Query 3	θ = 0.28	116340	0.01
Query 2	θ = 0.98	33965	0.027925
Query 3	θ = 0.28	184990	0.01
Query 1	θ = 0.88	69580	0.272699
Query 3	θ = 0.98	170765	0.235518
Query 2	θ = 0.48	179409	0.01
Query 1	θ = 0.28	133081	0.01
Query 3	θ = 0.98	138951	0.220426
Query 2	θ = 0.48	15814	0.02
Query 1	θ = 0.88	165042	0.227269
Query 3	θ = 0.28	193136	0.01
Query 2	θ = 0.78	161210	0.02
Query 3	θ = 0.28	92258	0.01
Query 3	θ = 0.98	162094	0.231668
Query 2	θ = 0.28	135634	0.01
Query 3	θ = 0.28	169533	0.01
Query 1	θ = 0.28	19498	0.01
Query 2	θ = 0.98	106586	0.066902
Query 3	θ = 0.88	138203	0.180759
Query 3	θ = 0.78	132770	0.097689
Query 3	θ = 0.28	35685	0.01
Query 3	θ = 0.78	33877	0.142277
Query 2	θ = 0.48	15944	0.02
Query 1	θ = 0.48	197809	0.01
Query 2	θ = 0.88	199129	0.011218
Query 3	θ = 0.88	173831	0.168815
Query 3	θ = 0.78	170733	0.083594
Query 1	θ = 0.78	69216	0.168430
Query 3	θ = 0.28	115231	0.01
Query 3	θ = 0.88	45409	0.220879
Query 3	θ = 0.48	120289	0.01
Query 3	θ = 0.28	89188	0.01
Query 3	θ = 0.78	46965	0.135596
Query 1	θ = 0.48	135013	0.010337
Query 2	θ = 0.48	196487	0.02
Query 1	θ = 0.98	85569	0.246815
Query 2	θ = 0.78	140458	0.04
Query 3	θ = 0.28	132977	0.01
Query 1	θ = 0.48	88319	0.033337
Query 1	θ = 0.28	3796	0.01
Query 1	θ = 0.28	99599	0.01
Query 1	θ = 0.88	138528	0.238707
Query 2	θ = 0.98	174988	0.089820
Query 3	θ = 0.78	142803	0.093824
Query 3	θ = 0.48	110060	0.01
Query 3	θ = 0.88	130447	0.183577
Query 3	θ = 0.48	140580	0.01
Query 3	θ = 0.78	132856	0.097655
Query 3	θ = 0.88	188911	0.164208
Query 3	θ = 0.98	167215	0.233962
Query 3	θ = 0.88	28039	0.230314
Query 2	θ = 0.48	11468	0.01
Query 2	θ = 0.98	159216	0.085311
Query 2	θ = 0.78	20380	0.003261
Query 1	θ = 0.88	106804	0.253436
Query 2	θ = 0.28	93390	0.01
Query 2	θ = 0.48	147084	0.01
Query 3	θ = 0.88	84873	0.201955
Query 2	θ = 0.88	162970	0.022187
Query 1	θ = 0.48	62895	0.047185
Query 2	θ = 0.98	11704	0.010646
Query 1	θ = 0.28	101889	0.01
Query 1	θ = 0.28	197962	0.01
Query 1	θ = 0.78	91282	0.152624
Query 1	θ = 0.88	123900	0.245284
Query 2	θ = 0.88	4876	0.093163
Query 2	θ = 0.98	286	0.000265
Query 3	θ = 0.88	72369	0.207599
Query 2	θ = 0.88	81637	0.052879
Query 3	θ = 0.78	144469	0.093198
Query 1	θ = 0.78	82512	0.158784
Query 2	θ = 0.78	148089	0.02
Query 2	θ = 0.48	157324	0.02
Query 2	θ = 0.48	48413	0.02
Query 1	θ = 0.88	113861	0.250002
Query 1	θ = 0.98	132227	0.281589
Query 3	θ = 0.48	179899	0.01
Query 3	θ = 0.78	161528	0.086886
Query 1	θ = 0.48	24402	0.071090
Query 2	θ = 0.98	50343	0.038660
Query 2	θ = 0.98	148281	0.081939
Query 1	θ = 0.98	34352	0.192737
Query 2	θ = 0.88	164897	0.021574
Query 2	θ = 0.28	87813	0.01
Query 1	θ = 0.78	43870	0.187931
Query 1	θ = 0.78	85189	0.156887
Query 2	θ = 0.88	171943	0.019341
Query 3	θ = 0.88	183975	0.165682
Query 2	θ = 0.98	196933	0.095505
Query 2	θ = 0.98	5843	0.005461
Query 2	θ = 0.98	186593	0.092904
Query 3	θ = 0.78	171255	0.083413
Query 1	θ = 0.78	126728	0.129236
Query 3	θ = 0.98	23637	0.129763
Query 3	θ = 0.48	74641	0.018112
Query 3	θ = 0.78	91480	0.114756
Query 2	θ = 0.28	40856	0.01
Query 2	θ = 0.48	137623	0.02
Query 2	θ = 0.98	24123	0.020689
Query 2	θ = 0.98	133860	0.077164
Query 1	θ = 0.98	57733	0.220067
Query 3	θ = 0.88	162526	0.172438
Query 2	θ = 0.78	160705	0.06
Query 2	θ = 0.88	174701	0.018481
Query 2	θ = 0.48	37599	0.01
Query 1	θ = 0.78	139112	0.121591
Query 3	θ = 0.48	28919	0.051465
Query 3	θ = 0.88	136306	0.181440
Query 2	θ = 0.88	56809	0.064418
Query 3	θ = 0.98	99824	0.197475
Query 3	θ = 0.78	99691	0.111196
Query 3	θ = 0.48	80079	0.014352
Query 1	θ = 0.78	188911	0.093264
Query 2	θ = 0.88	45693	0.070008
Query 3	θ = 0.98	65143	0.171477
Query 3	θ = 0.48	188587	0.01
Query 1	θ = 0.88	20436	0.303168
Query 3	θ = 0.98	173120	0.236533
Query 3	θ = 0.98	75775	0.180146
Query 2	θ = 0.88	132115	0.032734
Query 3	θ = 0.88	72850	0.207374
Query 2	θ = 0.78	86560	0.03
Query 1	θ = 0.88	9085	0.311034
Query 2	θ = 0.48	98041	0.01
Query 3	θ = 0.28	54722	0.01
Query 1	θ = 0.88	111940	0.250930
Query 2	θ = 0.28	70867	0.01
Query 3	θ = 0.88	5384	0.243823
Query 2	θ = 0.88	196786	0.011887
Query 3	θ = 0.48	74556	0.018171
Query 2	θ = 0.98	157584	0.084819
Query 2	θ = 0.88	156835	0.024184
Query 3	θ = 0.78	13868	0.153047
Query 3	θ = 0.78	75844	0.121762
Query 2	θ = 0.78	35113	0.02
Query 3	θ = 0.28	153210	0.01
Query 3	θ = 0.28	160793	0.01
Query 2	θ = 0.28	152742	0.01
Query 2	θ = 0.48	102318	0.02
Query 1	θ = 0.98	143477	0.288505
Query 3	θ = 0.28	181495	0.01
Query 3	θ = 0.88	37762	0.224934
Query 1	θ = 0.48	58410	0.049860
Query 2	θ = 0.88	132051	0.032758
Query 3	θ = 0.28	54226	0.02
Query 3	θ = 0.78	42584	0.137802
Query 3	θ = 0.98	195034	0.245395
Query 2	θ = 0.98	138619	0.078786
Query 3	θ = 0.48	107311	0.01
Query 1	θ = 0.28	59463	0.01
Query 2	θ = 0.48	11431	0.02
Query 3	θ = 0.28	13193	0.01
Query 2	θ = 0.78	146033	0.05
Query 2	θ = 0.78	105871	0.04
Query 2	θ = 0.28	134663	0.01
Query 3	θ = 0.88	199756	0.161011
Query 1	θ = 0.28	46044	0.01
Query 3	θ = 0.78	77156	0.121163
Query 1	θ = 0.88	143322	0.236634
Query 3	θ = 0.28	112955	0.01
Query 3	θ = 0.98	59428	0.166524
Query 3	θ = 0.28	12050	0.01
Query 2	θ = 0.98	122749	0.073203
Query 3	θ = 0.88	101180	0.194994
Query 2	θ = 0.28	157145	0.01
Query 2	θ = 0.98	75766	0.052844
Query 2	θ = 0.98	5808	0.005429
Query 1	θ = 0.28	185257	0.01
Query 3	θ = 0.98	183806	0.240978
Query 1	θ = 0.88	151301	0.233255
Query 2	θ = 0.48	115270	0.01
Query 3	θ = 0.98	66609	0.172715
Query 3	θ = 0.48	196628	0.02
Query 1	θ = 0.28	190626	0.01
Query 3	θ = 0.78	160323	0.087323
Query 2	θ = 0.48	194535	0.01
Query 2	θ = 0.78	194815	0.02
Query 2	θ = 0.48	197816	0.01
Query 3	θ = 0.28	60839	0.01
Query 2	θ = 0.28	63223	0.01
Query 2	θ = 0.28	58225	0.01
Query 3	θ = 0.28	75776	0.01
Query 3	θ = 0.78	127483	0.099765
Query 2	θ = 0.98	180235	0.091228
Query 1	θ = 0.78	66411	0.170514
Query 3	θ = 0.88	159795	0.173329
Query 3	θ = 0.48	92312	0.006059
Query 3	θ = 0.28	60748	0.01
Query 3	θ = 0.88	79542	0.204327
Query 2	θ = 0.98	48694	0.037638
Query 1	θ = 0.28	147101	0.01
Query 2	θ = 0.78	68660	0.04
Query 3	θ = 0.88	142727	0.179161
Query 1	θ = 0.88	167128	0.226385
Query 1	θ = 0.28	124663	0.01
Query 1	θ = 0.28	139126	0.01
Query 1	θ = 0.28	134612	0.01
Query 2	θ = 0.98	56138	0.042137
Query 2	θ = 0.88	56956	0.064345
Query 2	θ = 0.48	108807	0.01
Query 1	θ = 0.88	131734	0.241716
Query 3	θ = 0.48	117522	0.01
Query 3	θ = 0.88	71089	0.208191
Query 1	θ = 0.98	196307	0.316017
Query 2	θ = 0.78	21816	0.002660
Query 1	θ = 0.88	177354	0.222147
Query 1	θ = 0.78	26431	0.199661
Query 3	θ = 0.78	150286	0.091013
Query 1	θ = 0.88	93542	0.260037
Query 3	θ = 0.28	109892	0.01
Query 2	θ = 0.78	124033	0.05
Query 3	θ = 0.88	34402	0.226764
Query 2	θ = 0.28	100479	0.01
Query 3	θ = 0.28	140936	0.01
Query 1	θ = 0.98	144272	0.288986
Query 3	θ = 0.98	48915	0.156819
Query 3	θ = 0.88	145407	0.178217
Query 3	θ = 0.28	164940	0.01
Query 1	θ = 0.98	123267	0.275723
Query 1	θ = 0.48	105540	0.024579
Query 2	θ = 0.28	181644	0.01
Query 3	θ = 0.98	37809	0.145636
Query 1	θ = 0.88	162877	0.228194
Query 1	θ = 0.48	47919	0.056228
Query 1	θ = 0.48	103864	0.025416
Query 2	θ = 0.88	71104	0.057633
Query 1	θ = 0.48	141279	0.007757
Query 2	θ = 0.28	121120	0.01
Query 2	θ = 0.88	43446	0.071175
Query 3	θ = 0.88	112391	0.190466
Query 3	θ = 0.48	35768	0.046422
Query 3	θ = 0.48	23308	0.055648
Query 1	θ = 0.28	169029	0.01
Query 3	θ = 0.48	64721	0.025096
Query 3	θ = 0.88	169555	0.170170
Query 1	θ = 0.28	68700	0.01
Query 3	θ = 0.98	72964	0.177919
Query 2	θ = 0.28	125063	0.01
Query 3	θ = 0.48	128455	0.01
Query 1	θ = 0.88	23647	0.300991
Query 1	θ = 0.98	89007	0.249755
Query 3	θ = 0.48	169437	0.01
Query 1	θ = 0.88	76204	0.269073
Query 2	θ = 0.78	94454	0.02
Query 1	θ = 0.88	146387	0.235328
Query 3	θ = 0.28	100015	0.01
Query 2	θ = 0.98	325	0.000299
Query 3	θ = 0.98	84108	0.186481
Query 1	θ = 0.88	159052	0.229843
Query 1	θ = 0.98	29466	0.186276
Query 1	θ = 0.98	188402	0.312330
Query 2	θ = 0.88	163241	0.022098
Query 2	θ = 0.98	95691	0.062274
Query 1	θ = 0.28	90221	0.01
Query 1	θ = 0.28	94982	0.01
Query 2	θ = 0.48	136545	0.01
Query 3	θ = 0.98	88183	0.189449
Query 2	θ = 0.78	67115	0.06
Query 1	θ = 0.28	60774	0.01
Query 1	θ = 0.88	28869	0.297472
Query 1	θ = 0.88	66987	0.274148
Query 2	θ = 0.48	139077	0.01
Query 2	θ = 0.88	180895	0.016584
Query 2	θ = 0.28	199796	0.01
Query 3	θ = 0.48	34057	0.047684
Query 2	θ = 0.88	181714	0.016331
Query 3	θ = 0.88	33775	0.227107
Query 3	θ = 0.88	125729	0.185341
Query 2	θ = 0.48	184043	0.01
Query 2	θ = 0.48	156631	0.01
Query 1	θ = 0.28	187573	0.01
Query 3	θ = 0.88	186747	0.164855
Query 3	θ = 0.98	63688	0.170240
Query 1	θ = 0.78	164196	0.106854
Query 3	θ = 0.98	47287	0.155240
Query 3	θ = 0.78	15503	0.152146
Query 1	θ = 0.78	169100	0.104090
Query 2	θ = 0.28	10169	0.01
Query 1	θ = 0.88	105138	0.254256
Query 3	θ = 0.98	23112	0.129137
Query 1	θ = 0.48	10375	0.080366
Query 1	θ = 0.48	129475	0.012944
Query 3	θ = 0.48	135622	0.01
Query 2	θ = 0.28	102650	0.01
Query 1	θ = 0.98	37795	0.197088
Query 1	θ = 0.98	130578	0.280539
Query 2	θ = 0.48	118005	0.02
Query 2	θ = 0.98	85214	0.057484
Query 3	θ = 0.88	32459	0.227837
Query 1	θ = 0.48	10865	0.080036
Query 3	θ = 0.78	140182	0.094827
Query 2	θ = 0.48	90872	0.01
Query 1	θ = 0.88	52410	0.282606
Query 1	θ = 0.28	30670	0.01
Query 3	θ = 0.28	94983	0.01
Query 2	θ = 0.28	33319	0.01
Query 1	θ = 0.48	50414	0.054699
Query 2	θ = 0.28	185237	0.01
Query 1	θ = 0.88	4664	0.314215
Query 3	θ = 0.78	26569	0.146132
Query 3	θ = 0.48	126958	0.01
Query 1	θ = 0.48	82447	0.036402
Query 3	θ = 0.78	71759	0.123640
Query 2	θ = 0.88	164527	0.021690
Query 1	θ = 0.98	129820	0.280036
Query 2	θ = 0.88	76785	0.055039
Query 1	θ = 0.88	42565	0.288630
Query 1	θ = 0.98	74712	0.237039
Query 1	θ = 0.88	196797	0.214477
Query 2	θ = 0.48	139535	0.01
Query 1	θ = 0.88	145317	0.235782
Query 2	θ = 0.48	191742	0.02
Query 2	θ = 0.28	101625	0.01
Query 1	θ = 0.88	192275	0.216216
Query 3	θ = 0.78	193489	0.075800
Query 2	θ = 0.48	155567	0.01
Query 2	θ = 0.28	158083	0.01
Query 2	θ = 0.28	16713	0.01
Query 2	θ = 0.88	101053	0.044652
Query 1	θ = 0.48	56590	0.050953
Query 3	θ = 0.78	74712	0.122278
Query 3	θ = 0.78	146358	0.092485
Query 1	θ = 0.28	181331	0.01
Query 2	θ = 0.28	28050	0.01
Query 2	θ = 0.48	40441	0.01
Query 2	θ = 0.28	165872	0.01
Query 2	θ = 0.88	14213	0.087448
Query 1	θ = 0.78	22724	0.201497
