Query	Quality Threshold	Repetition	Unfairness
Query 3	θ = 0.78	25196	0.146866
Query 1	θ = 0.78	162659	0.107729
Query 3	θ = 0.88	16640	0.236921
Query 3	θ = 0.78	102760	0.109889
Query 3	θ = 0.88	182151	0.166230
Query 3	θ = 0.48	178990	0.01
Query 2	θ = 0.98	17524	0.015473
Query 2	θ = 0.48	55366	0.01
Query 2	θ = 0.88	136810	0.031049
Query 2	θ = 0.48	91585	0.01
Query 3	θ = 0.78	84492	0.117853
Query 2	θ = 0.28	29787	0.01
Query 1	θ = 0.48	77211	0.039169
Query 1	θ = 0.78	23172	0.201274
Query 2	θ = 0.28	194992	0.01
Query 2	θ = 0.48	108702	0.02
Query 2	θ = 0.78	125594	0.03
Query 1	θ = 0.88	53216	0.282124
Query 3	θ = 0.48	170288	0.01
Query 2	θ = 0.98	22346	0.019320
Query 1	θ = 0.28	17533	0.01
Query 2	θ = 0.88	185698	0.015143
Query 1	θ = 0.98	112431	0.268150
Query 1	θ = 0.98	38623	0.198126
Query 1	θ = 0.48	147713	0.005333
Query 2	θ = 0.28	44450	0.01
Query 2	θ = 0.48	148870	0.01
Query 3	θ = 0.78	63375	0.127585
Query 3	θ = 0.48	152734	0.01
Query 1	θ = 0.78	111764	0.138832
Query 1	θ = 0.48	169346	0.01
Query 1	θ = 0.78	159042	0.109803
Query 2	θ = 0.48	19824	0.01
Query 3	θ = 0.48	129737	0.01
Query 2	θ = 0.78	51231	0.06
Query 1	θ = 0.48	38156	0.062296
Query 2	θ = 0.48	23062	0.01
Query 1	θ = 0.98	105966	0.263338
Query 2	θ = 0.98	47553	0.036927
Query 2	θ = 0.98	121695	0.072811
Query 3	θ = 0.98	25186	0.131595
Query 1	θ = 0.98	194822	0.315322
Query 3	θ = 0.98	130115	0.215719
Query 2	θ = 0.28	70067	0.01
Query 1	θ = 0.88	46763	0.286030
Query 2	θ = 0.78	198014	0.03
Query 2	θ = 0.88	99756	0.045185
Query 2	θ = 0.98	68437	0.049014
Query 2	θ = 0.78	145375	0.05
Query 3	θ = 0.78	61785	0.128341
Query 1	θ = 0.98	97490	0.256716
Query 2	θ = 0.88	26218	0.080477
Query 1	θ = 0.88	81544	0.266223
Query 2	θ = 0.88	195196	0.012348
Query 1	θ = 0.28	11646	0.01
Query 2	θ = 0.88	181356	0.016442
Query 1	θ = 0.98	132140	0.281532
Query 3	θ = 0.78	166302	0.085166
Query 2	θ = 0.88	20455	0.083761
Query 1	θ = 0.98	133782	0.282569
Query 2	θ = 0.78	67188	0.05
Query 1	θ = 0.28	43253	0.01
Query 2	θ = 0.28	49922	0.01
Query 2	θ = 0.98	43649	0.034444
Query 2	θ = 0.88	24647	0.081366
Query 3	θ = 0.78	82977	0.118532
Query 3	θ = 0.78	198866	0.074026
Query 3	θ = 0.48	48663	0.036744
Query 1	θ = 0.78	34474	0.195556
Query 2	θ = 0.88	187709	0.014545
Query 3	θ = 0.28	41586	0.01
Query 2	θ = 0.48	105140	0.01
Query 3	θ = 0.88	96485	0.196955
Query 1	θ = 0.98	186967	0.311648
Query 1	θ = 0.48	180404	0.01
Query 3	θ = 0.88	7014	0.242794
Query 2	θ = 0.48	112533	0.01
Query 2	θ = 0.98	116293	0.070762
Query 1	θ = 0.28	120543	0.01
Query 1	θ = 0.88	25919	0.299449
Query 1	θ = 0.28	121742	0.01
Query 3	θ = 0.48	93966	0.004955
Query 1	θ = 0.78	28359	0.198714
Query 2	θ = 0.28	198498	0.01
Query 1	θ = 0.28	21814	0.01
Query 1	θ = 0.88	179052	0.221455
Query 2	θ = 0.88	73608	0.056479
Query 1	θ = 0.88	168313	0.225887
Query 3	θ = 0.48	56922	0.030699
Query 3	θ = 0.78	193722	0.075724
Query 1	θ = 0.78	190069	0.092649
Query 1	θ = 0.78	51491	0.181906
Query 2	θ = 0.48	17815	0.01
Query 1	θ = 0.48	166055	0.01
Query 2	θ = 0.28	180150	0.01
Query 3	θ = 0.88	43234	0.222014
Query 1	θ = 0.48	175462	0.01
Query 1	θ = 0.88	195399	0.215013
Query 1	θ = 0.48	189031	0.01
Query 3	θ = 0.88	162019	0.172601
Query 2	θ = 0.28	5190	0.01
Query 2	θ = 0.88	113819	0.039584
Query 1	θ = 0.48	148138	0.005174
Query 1	θ = 0.48	111049	0.021846
Query 3	θ = 0.88	27977	0.230349
Query 1	θ = 0.78	41706	0.189667
Query 1	θ = 0.48	82375	0.036440
Query 1	θ = 0.28	79201	0.01
Query 2	θ = 0.48	57763	0.01
Query 2	θ = 0.88	162892	0.022213
Query 1	θ = 0.78	192172	0.091534
Query 1	θ = 0.88	24941	0.300111
Query 1	θ = 0.48	51957	0.053758
Query 3	θ = 0.28	193724	0.01
Query 1	θ = 0.48	59600	0.049147
Query 3	θ = 0.48	181310	0.01
Query 2	θ = 0.28	43571	0.01
Query 2	θ = 0.48	53536	0.01
Query 3	θ = 0.98	101998	0.198907
Query 2	θ = 0.48	176917	0.01
Query 1	θ = 0.78	185073	0.095322
Query 3	θ = 0.48	154109	0.01
Query 2	θ = 0.78	2783	0.009963
Query 1	θ = 0.78	46821	0.185581
Query 3	θ = 0.28	130212	0.01
Query 1	θ = 0.78	189082	0.093173
Query 3	θ = 0.98	107749	0.202595
Query 2	θ = 0.48	148807	0.01
Query 3	θ = 0.28	79883	0.01
Query 3	θ = 0.48	110452	0.01
Query 1	θ = 0.78	3032	0.211641
Query 2	θ = 0.88	176573	0.017905
Query 1	θ = 0.88	13332	0.308039
Query 1	θ = 0.78	124373	0.130722
Query 3	θ = 0.88	57937	0.214520
Query 1	θ = 0.78	99072	0.147285
Query 2	θ = 0.88	25555	0.080855
Query 2	θ = 0.78	83580	0.04
Query 1	θ = 0.98	125843	0.277452
Query 2	θ = 0.98	159764	0.085476
Query 1	θ = 0.48	70842	0.042580
Query 3	θ = 0.78	30746	0.143916
Query 3	θ = 0.28	64865	0.01
Query 2	θ = 0.28	114345	0.01
Query 2	θ = 0.98	134156	0.077263
Query 1	θ = 0.88	53372	0.282032
Query 3	θ = 0.78	161185	0.087009
Query 2	θ = 0.98	42948	0.033990
Query 1	θ = 0.98	598	0.141246
Query 2	θ = 0.28	169645	0.01
Query 2	θ = 0.48	59739	0.01
Query 2	θ = 0.78	52872	0.02
Query 1	θ = 0.28	179864	0.01
Query 3	θ = 0.28	121086	0.01
Query 2	θ = 0.88	92705	0.048116
Query 2	θ = 0.78	81794	0.03
Query 3	θ = 0.28	122856	0.01
Query 1	θ = 0.48	87328	0.033852
Query 3	θ = 0.48	97226	0.002792
Query 3	θ = 0.78	150520	0.090927
Query 1	θ = 0.88	12001	0.308971
Query 3	θ = 0.78	7845	0.156441
Query 2	θ = 0.88	168464	0.020441
Query 2	θ = 0.88	89266	0.049572
Query 2	θ = 0.48	120625	0.01
Query 2	θ = 0.88	7436	0.091573
Query 1	θ = 0.28	132241	0.01
Query 2	θ = 0.28	147879	0.01
Query 1	θ = 0.28	24530	0.01
Query 1	θ = 0.88	145593	0.235665
Query 2	θ = 0.88	103857	0.043503
Query 1	θ = 0.28	87802	0.01
Query 1	θ = 0.78	99241	0.147171
Query 3	θ = 0.28	30779	0.01
Query 2	θ = 0.88	93822	0.047645
Query 3	θ = 0.78	101930	0.110241
Query 2	θ = 0.48	37119	0.01
Query 1	θ = 0.98	123897	0.276149
Query 2	θ = 0.98	150607	0.082677
Query 2	θ = 0.98	105758	0.066560
Query 3	θ = 0.98	138548	0.220218
Query 1	θ = 0.78	93748	0.150920
Query 3	θ = 0.98	12668	0.116016
Query 1	θ = 0.48	39013	0.061758
Query 2	θ = 0.88	82808	0.052367
Query 1	θ = 0.98	68219	0.230839
Query 1	θ = 0.28	157616	0.01
Query 2	θ = 0.88	176865	0.017816
Query 3	θ = 0.98	44583	0.152578
Query 1	θ = 0.78	144904	0.118097
Query 3	θ = 0.98	62877	0.169541
Query 3	θ = 0.48	77992	0.015790
Query 1	θ = 0.28	84129	0.01
Query 1	θ = 0.78	35903	0.194383
Query 3	θ = 0.88	9311	0.241377
Query 3	θ = 0.48	105840	0.01
Query 2	θ = 0.28	165364	0.01
Query 1	θ = 0.48	187635	0.01
Query 3	θ = 0.28	176058	0.01
Query 3	θ = 0.78	104127	0.109309
Query 2	θ = 0.88	50183	0.067724
Query 2	θ = 0.28	127797	0.01
Query 3	θ = 0.88	137836	0.180891
Query 3	θ = 0.98	139485	0.220702
Query 3	θ = 0.98	197739	0.246421
